DOID:0014667	disease of metabolism	ENSPHENO:0001066	Metabolic syndrome	false	
DOID:0050331	LADD syndrome	ENSPHENO:0000883	LADD SYNDROME	false	
DOID:0050331	LADD syndrome	ENSPHENO:0000883	LADD SYNDROME	true	
DOID:0050425	restless legs syndrome	ENSPHENO:0001404	Restless Leg Syndrome	true	
DOID:0050425	restless legs syndrome	ENSPHENO:0001406	Restless legs syndrome	false	
DOID:0050425	restless legs syndrome	ENSPHENO:0001406	Restless legs syndrome	true	
DOID:0050432	Asperger syndrome	ENSPHENO:0000142	Asperger disorder	false	
DOID:0050448	hereditary mucosal leukokeratosis	ENSPHENO:0001629	WHITE SPONGE NEVUS	false	
DOID:0050448	hereditary mucosal leukokeratosis	ENSPHENO:0001629	WHITE SPONGE NEVUS	true	
DOID:0050449	pachyonychia congenita	ENSPHENO:0001247	PACHYONYCHIA CONGENITA TYPE 1	false	
DOID:0050449	pachyonychia congenita	ENSPHENO:0001247	PACHYONYCHIA CONGENITA TYPE 1	true	
DOID:0050449	pachyonychia congenita	ENSPHENO:0001301	Pachyonychia congenita type 1	false	
DOID:0050449	pachyonychia congenita	ENSPHENO:0001301	Pachyonychia congenita type 1	true	
DOID:0050470	Donohue Syndrome	ENSPHENO:0000429	DONOHUE SYNDROME	false	
DOID:0050470	Donohue Syndrome	ENSPHENO:0000429	DONOHUE SYNDROME	true	
DOID:0050470	Donohue Syndrome	ENSPHENO:0000922	Leprechaunism	false	
DOID:0050470	Donohue Syndrome	ENSPHENO:0000922	Leprechaunism	true	
DOID:0050536	SC phocomelia syndrome	ENSPHENO:0001416	SC PHOCOMELIA SYNDROME	false	
DOID:0050536	SC phocomelia syndrome	ENSPHENO:0001416	SC PHOCOMELIA SYNDROME	true	
DOID:0050538	Charcot-Marie-Tooth disease type 1	ENSPHENO:0000291	CHARCOT-MARIE-TOOTH DISEASE TYPE 1A	false	
DOID:0050538	Charcot-Marie-Tooth disease type 1	ENSPHENO:0000291	CHARCOT-MARIE-TOOTH DISEASE TYPE 1A	true	
DOID:0050547	familial medullary thyroid carcinoma	ENSPHENO:0001537	THYROID CARCINOMA FAMILIAL MEDULLARY	false	
DOID:0050547	familial medullary thyroid carcinoma	ENSPHENO:0001537	THYROID CARCINOMA FAMILIAL MEDULLARY	true	
DOID:0050589	inflammatory bowel disease	ENSPHENO:0000855	Inflammatory bowel disease	false	
DOID:0050589	inflammatory bowel disease	ENSPHENO:0000855	Inflammatory bowel disease	true	
DOID:0050601	ADULT syndrome	ENSPHENO:0000030	ADULT SYNDROME	false	
DOID:0050601	ADULT syndrome	ENSPHENO:0000030	ADULT SYNDROME	true	
DOID:0050605	acrodermatitis enteropathica	ENSPHENO:0000022	ACRODERMATITIS ENTEROPATHICA	false	
DOID:0050605	acrodermatitis enteropathica	ENSPHENO:0000022	ACRODERMATITIS ENTEROPATHICA	true	
DOID:0050631	Allan-Herndon-Dudley syndrome	ENSPHENO:0000053	ALLAN-HERNDON-DUDLEY SYNDROME	false	
DOID:0050631	Allan-Herndon-Dudley syndrome	ENSPHENO:0000053	ALLAN-HERNDON-DUDLEY SYNDROME	true	
DOID:0050634	alopecia universalis	ENSPHENO:0000125	Alopecia universalis congenita	false	
DOID:0050634	alopecia universalis	ENSPHENO:0000125	Alopecia universalis congenita	true	
DOID:0050635	alternating hemiplegia of childhood	ENSPHENO:0000126	Alternating hemiplegia of childhood	false	
DOID:0050635	alternating hemiplegia of childhood	ENSPHENO:0000126	Alternating hemiplegia of childhood	true	
DOID:0050636	familial visceral amyloidosis	ENSPHENO:0000067	AMYLOIDOSIS FAMILIAL VISCERAL	false	
DOID:0050636	familial visceral amyloidosis	ENSPHENO:0000067	AMYLOIDOSIS FAMILIAL VISCERAL	true	
DOID:0050638	transthyretin amyloidosis	ENSPHENO:0000068	AMYLOIDOSIS HEREDITARY TRANSTHYRETIN-RELATED	false	
DOID:0050638	transthyretin amyloidosis	ENSPHENO:0000068	AMYLOIDOSIS HEREDITARY TRANSTHYRETIN-RELATED	true	
DOID:0050643	anonychia congenita	ENSPHENO:0000080	ANONYCHIA CONGENITA	false	
DOID:0050643	anonychia congenita	ENSPHENO:0000080	ANONYCHIA CONGENITA	true	
DOID:0050647	Arts syndrome	ENSPHENO:0000087	ARTS SYNDROME	false	
DOID:0050647	Arts syndrome	ENSPHENO:0000087	ARTS SYNDROME	true	
DOID:0050658	Bart-Pumphrey syndrome	ENSPHENO:0000875	KNUCKLE PADS LEUKONYCHIA AND SENSORINEURAL DEAFNESS	false	
DOID:0050658	Bart-Pumphrey syndrome	ENSPHENO:0000875	KNUCKLE PADS LEUKONYCHIA AND SENSORINEURAL DEAFNESS	true	
DOID:0050661	vitelliform macular dystrophy	ENSPHENO:0000166	BEST MACULAR DYSTROPHY	false	
DOID:0050661	vitelliform macular dystrophy	ENSPHENO:0000166	BEST MACULAR DYSTROPHY	true	
DOID:0050678	Blau syndrome	ENSPHENO:0000172	BLAU SYNDROME	false	
DOID:0050678	Blau syndrome	ENSPHENO:0000172	BLAU SYNDROME	true	
DOID:0060010	Omenn syndrome	ENSPHENO:0001215	OMENN SYNDROME	false	
DOID:0060010	Omenn syndrome	ENSPHENO:0001215	OMENN SYNDROME	true	
DOID:0060013	gamma chain deficiency	ENSPHENO:0001428	SEVERE COMBINED IMMUNODEFICIENCY X-LINKED	true	
DOID:0060168	histidinemia	ENSPHENO:0000741	HISTIDINEMIA	false	
DOID:0060168	histidinemia	ENSPHENO:0000741	HISTIDINEMIA	true	
DOID:0060170	generalized epilepsy with febrile seizures plus	ENSPHENO:0000575	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS	false	
DOID:0060170	generalized epilepsy with febrile seizures plus	ENSPHENO:0000575	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS	true	
DOID:0060175	succinic semialdehyde dehydrogenase deficiency	ENSPHENO:0001468	SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY	false	
DOID:0060175	succinic semialdehyde dehydrogenase deficiency	ENSPHENO:0001468	SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY	true	
DOID:0080038	pycnodysostosis	ENSPHENO:0001348	Pycnodysostosis	false	
DOID:0080038	pycnodysostosis	ENSPHENO:0001348	Pycnodysostosis	true	
DOID:0080041	hypochondroplasia	ENSPHENO:0000816	Hypochondroplasia	false	
DOID:0080041	hypochondroplasia	ENSPHENO:0000816	Hypochondroplasia	true	
DOID:1024	leprosy	ENSPHENO:0000923	Leprosy	false	
DOID:1024	leprosy	ENSPHENO:0000923	Leprosy	true	
DOID:10283	prostate cancer	ENSPHENO:0001334	Prostate cancer	false	
DOID:10283	prostate cancer	ENSPHENO:0001334	Prostate cancer	true	
DOID:10286	prostate carcinoma	ENSPHENO:0001334	Prostate cancer	false	
DOID:10286	prostate carcinoma	ENSPHENO:0001334	Prostate cancer	true	
DOID:1040	chronic lymphocytic leukemia	ENSPHENO:0000377	Chronic lymphocytic leukemia	false	
DOID:1040	chronic lymphocytic leukemia	ENSPHENO:0000377	Chronic lymphocytic leukemia	true	
DOID:10581	metachromatic leukodystrophy	ENSPHENO:0000925	Leukodystrophy metachromatic	false	
DOID:10581	metachromatic leukodystrophy	ENSPHENO:0000925	Leukodystrophy metachromatic	true	
DOID:10581	metachromatic leukodystrophy	ENSPHENO:0000991	METACHROMATIC LEUKODYSTROPHY	false	
